channel,market,impressions,clicks,ctr_pct,conversions,conversion_rate_pct,spend_usd,revenue_usd,roas,new_customers,returning_customers
facebook,TW,3400000,54400,1.60,1632,3.00,18000,114240,6.35,490,1142
facebook,HK,1120000,17920,1.60,538,3.00,6000,37660,6.28,161,377
facebook,SG,1500000,24000,1.60,600,2.50,10000,48000,4.80,240,360
instagram,TW,2500000,42500,1.70,1275,3.00,15000,89250,5.95,383,892
instagram,SG,1000000,15000,1.50,375,2.50,7000,30000,4.29,150,225
google,TW,3800000,121600,3.20,3648,3.00,30000,218880,7.30,1094,2554
google,HK,1300000,41600,3.20,1040,2.50,10000,62400,6.24,312,728
google,SG,1800000,57600,3.20,1440,2.50,14000,86400,6.17,432,1008
line,TW,900000,19800,2.20,792,4.00,6000,55440,9.24,158,634
edm,TW,550000,18700,3.40,935,5.00,500,65450,130.90,94,841
edm,SG,220000,5940,2.70,267,4.50,200,18690,93.45,40,227
tiktok,TW,2500000,30000,1.20,450,1.50,10000,27000,2.70,270,180
youtube,TW,1400000,14000,1.00,280,2.00,10000,19600,1.96,84,196
